,Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Month,New_Status
0,250635,Comcast Cable Internet Speeds,2015-04-22,22-Apr-15,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No,April,Closed
1,223441,Payment disappear - service got disconnected,2015-04-08,04-Aug-15,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No,April,Closed
2,242732,Speed and Service,2015-04-18,18-Apr-15,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes,April,Closed
3,277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,2015-05-07,05-Jul-15,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes,May,Open
4,307175,Comcast not working and no service to boot,2015-05-26,26-May-15,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No,May,Closed
5,338519,ISP Charging for arbitrary data limits with overage fees,2015-06-12,06-Dec-15,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No,June,Closed
6,361148,Throttling service and unreasonable data caps,2015-06-24,24-Jun-15,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No,June,Open
7,359792,Comcast refuses to help troubleshoot and correct my service.,2015-06-23,23-Jun-15,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No,June,Closed
8,318072,Comcast extended outages,2015-06-01,06-Jan-15,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No,June,Closed
9,371214,Comcast Raising Prices and Not Being Available To Ask Why,2015-06-28,28-Jun-15,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes,June,Open
10,255938,Billing after service was asked to be disconnected,2015-04-24,24-Apr-15,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No,April,Closed
11,276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,2015-05-06,05-Jun-15,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No,May,Closed
